index,date,clqn_prc,score_h16_predret,future_16w_return,final_buy_signal,final_sell_signal
209,2017-01-06,3154.321,0.07871584252063829,0.00010696438314306,False,True
210,2017-01-13,3112.7644,0.07686064492184647,-0.0031247466078704322,False,True
211,2017-01-20,3123.1389,0.07501648397242261,-0.012687780232893298,False,True
212,2017-01-27,3123.1389,0.07303992691882472,-0.010408758957214381,False,True
213,2017-02-03,3140.17,0.07120072555596471,-0.009589066833961213,False,True
214,2017-02-10,3196.699,0.06945852392477103,-0.02851660415947832,False,True
215,2017-02-17,3202.0756,0.06739032685781118,-0.013639652980085848,False,True
216,2017-02-24,3253.4327,0.06571519294574624,-0.040039709442890814,False,True
217,2017-03-03,3218.3118,0.06357320177584172,-0.01877965957182892,False,True
218,2017-03-10,3212.7601,0.061938315951002576,-0.006328888359887208,False,True
285,2018-06-22,2889.7603,-0.041693215245821896,-0.09787932929938858,True,False
286,2018-06-29,2847.4181,-0.0690313552951295,-0.10428847804261687,True,False
304,2018-11-02,2676.4762,-0.04365254195351754,0.04773066915371782,True,False
305,2018-11-09,2598.8715,-0.036693246711801845,0.1520404144645089,True,False
306,2018-11-16,2679.1097,-0.031478346270707155,0.10852549262913724,True,False
307,2018-11-23,2579.4831,-0.02614279492448679,0.17145609521535543,True,False
308,2018-11-30,2588.1875,-0.021173634839634532,0.19935232667648695,True,False
309,2018-12-07,2605.8876,-0.020251124987321983,0.18606727320088545,True,False
386,2020-05-29,2852.3512,-0.009902271482151837,0.17029407178190392,True,False
592,2024-05-10,3154.5472,-0.02839503219988385,-0.09901040631124491,True,False
612,2024-09-27,3087.5286,-0.06888559447821771,0.04997284883450148,True,False
613,2024-10-04,3087.5286,-0.042510535273828316,0.05347247633592778,True,False
655,2025-07-25,3593.6553,-0.013516382711208596,0.1104270629406221,True,False
656,2025-08-01,3559.9518,-0.01070749969939919,0.07723110183682835,True,False
657,2025-08-08,3635.1281,-0.010199575240153698,0.06972741895945833,True,False
