index,total_amt,tmt_amt,tmt_pct,交通运输_amt,传媒_amt,农林牧渔_amt,医药_amt,商贸零售_amt,国防军工_amt,基础化工_amt,家电_amt,建材_amt,建筑_amt,房地产_amt,有色金属_amt,机械_amt,汽车_amt,消费者服务_amt,煤炭_amt,电力及公用事业_amt,电力设备及新能源_amt,电子_amt,石油石化_amt,纺织服装_amt,综合_amt,综合金融_amt,计算机_amt,轻工制造_amt,通信_amt,钢铁_amt,银行_amt,非银行金融_amt,食品饮料_amt,交通运输_pct,传媒_pct,农林牧渔_pct,医药_pct,商贸零售_pct,国防军工_pct,基础化工_pct,家电_pct,建材_pct,建筑_pct,房地产_pct,有色金属_pct,机械_pct,汽车_pct,消费者服务_pct,煤炭_pct,电力及公用事业_pct,电力设备及新能源_pct,电子_pct,石油石化_pct,纺织服装_pct,综合_pct,综合金融_pct,计算机_pct,轻工制造_pct,通信_pct,钢铁_pct,银行_pct,非银行金融_pct,食品饮料_pct
2021-07-30,1331610910720.0,319166414848.0,23.968443956007178,14118122496.0,13593375744.0,18487119872.0,113338073088.0,9653048320.0,40754061312.0,115244253184.0,14243332096.0,14468872192.0,19128838144.0,10015809536.0,114856984576.0,75586347008.0,52265234432.0,9450050560.0,16383828992.0,28639823872.0,167709966336.0,209599086592.0,10535525376.0,5462680576.0,3967186432.0,447134848.0,63461904384.0,11541622784.0,32512030720.0,29152356352.0,15100388352.0,34138148864.0,67755712512.0,1.0602288087566323,1.0208218958381832,1.3883274553528584,8.511350588642914,0.7249150815969667,3.060508214818121,8.654499017410995,1.069631675539415,1.0865690627434632,1.4365185798648246,0.7521573648404899,8.625416302266329,5.676308777549035,3.9249629160623405,0.7096705564608488,1.2303765957535815,2.150765185343404,12.59451728623337,15.740265035728049,0.7911864713021508,0.41023098654593754,0.2979238454763748,0.033578490863989306,4.765799369253158,0.8667413800146366,2.4415563478990117,2.189254842935867,1.13399403913229,2.5636729610109272,5.088251528020643
2021-08-02,1503483265024.0,320083132416.0,21.289437658681923,18684745728.0,13841169408.0,25120458752.0,124240158720.0,10501938176.0,56248074240.0,126033985536.0,16721123328.0,20928909312.0,19191349248.0,12870588416.0,137294290944.0,94179368960.0,67660505088.0,11130392576.0,15855924224.0,33029056512.0,172181815296.0,203986829312.0,13811803136.0,5661630976.0,3503199744.0,584195776.0,66919116800.0,12281189376.0,35336024064.0,27065790464.0,19683971072.0,56584781824.0,82350948352.0,1.2427637980860222,0.9206068155190976,1.670817317118525,8.263487968921075,0.6985071547059992,3.7411839259216575,8.382799361187976,1.112158925675377,1.3920280856379146,1.2764591195960966,0.8560513253065406,9.131747199182053,6.264078300764899,4.500249963668198,0.740307047968527,1.05461261810233,2.1968356602541075,11.452193669295777,13.56761555365525,0.9186535997645123,0.3765676085466521,0.2330055694995766,0.038856154211378904,4.450938587529391,0.8168490904888094,2.3502771787377315,1.800205635382842,1.3092244875559547,3.763579092654333,5.477343863264447
2021-08-03,1406178295808.0,310231859200.0,22.062057146297978,19563134976.0,18991337472.0,22181957632.0,145459920896.0,9696934912.0,47053197312.0,114749087744.0,19815659520.0,22170529792.0,23325054976.0,11058940928.0,112544989184.0,100128890880.0,63322927104.0,9134383104.0,12070445056.0,27172481024.0,155896741888.0,185634799616.0,11900690432.0,5897499136.0,2564838656.0,528576672.0,73348694016.0,11277314048.0,32257026048.0,21190060032.0,13870906368.0,52673925120.0,60697378816.0,1.3912272031448818,1.3505639739011506,1.5774640881691386,10.34434405150719,0.6895949781693986,3.3461757625097532,8.16035122189568,1.4091854197346847,1.576651400330472,1.6587551554120141,0.7864536780981571,8.003607331979964,7.120639763712555,4.503193321414067,0.6495892541671836,0.8583865283644018,1.932363847813943,11.086555833833335,13.20136999478668,0.8463144728856576,0.419399101350178,0.18239782704982127,0.037589591133340323,5.216173100855132,0.801983225144289,2.2939499311120346,1.5069255509895378,0.9864258614537695,3.7458923435973803,4.316478144837448
2021-08-04,1279756730368.0,276986068992.0,21.643650110935646,16362159104.0,16717489152.0,15997415424.0,124071174144.0,10057405440.0,43942043648.0,113584529408.0,16204636160.0,17324367872.0,18282463232.0,9014842368.0,102962626560.0,92375179264.0,62801809408.0,7425494528.0,12913135616.0,24942686208.0,163801415680.0,172084609024.0,11346879488.0,6100686336.0,2843415296.0,387676416.0,60903424000.0,11078999040.0,27280564224.0,23664617472.0,12688496640.0,35991687168.0,46604849152.0,1.2785366715199837,1.3063021084634427,1.2500356547763471,9.694903038980133,0.7858841607426394,3.4336247354889284,8.875478183680913,1.2662278521747083,1.3537235211115708,1.4285889496156658,0.7044184378235495,8.045484279687486,7.218182727387344,4.907324018521946,0.5802270347009438,1.0090304906844887,1.9490177794046541,12.799418185743642,13.446665677977428,0.8866434704927983,0.4767067202096854,0.22218404705575276,0.030292977313627557,4.758984465937283,0.8657113322478236,2.1316992188160127,1.8491496790327588,0.9914772346109376,2.8123850661563177,3.6416959603407246
2021-08-05,1280913440768.0,258048720896.0,20.145679847131685,13882963968.0,16399858688.0,21847619584.0,124352831488.0,10655395840.0,68396666880.0,115071934464.0,14636461056.0,18388045824.0,16471768064.0,14027128832.0,99408855040.0,92884385792.0,57722535936.0,7078997504.0,15629072384.0,26214066176.0,155279589376.0,159482986496.0,14311461888.0,6175452160.0,3777122816.0,400115936.0,56986951680.0,11825055744.0,25178920960.0,20657989632.0,11279270912.0,34572779520.0,47917146112.0,1.0838331089473277,1.280325287098799,1.7056281001236726,9.708136984919255,0.8318591640049715,5.339679068321062,8.98358396450318,1.1426580899349754,1.4355416407353054,1.2859392008662183,1.095087957199491,7.760778509779491,7.251417842591231,4.506357268090745,0.5526522931756911,1.2201505493321425,2.0465134755930716,12.1225669458897,12.450723165210793,1.117285636367376,0.4821131517128411,0.2948772880184115,0.031236766144018418,4.44893072913906,0.9231736796289705,1.9657004258541795,1.6127545370758265,0.8805646465257843,2.699072272929787,3.7408574683446383
2021-08-06,1215019089920.0,244903428096.0,20.15634405481852,12412821504.0,13723884544.0,17117281280.0,112154976256.0,9333580800.0,52862447616.0,117095522304.0,12882172928.0,14982959104.0,14018027520.0,10200547328.0,116635566080.0,84224327680.0,60370255872.0,5290651648.0,16102904832.0,25784313856.0,155344715776.0,153699811328.0,10795534336.0,4745515520.0,5506153984.0,342805856.0,53354811392.0,10716634112.0,24124923904.0,19600459776.0,12166383616.0,27858331648.0,41570803712.0,1.0216153480203585,1.1295200756807546,1.408807599979935,9.230717211478922,0.7681838810133055,4.3507503754102,9.63734012703536,1.0602444879156752,1.2331459833266092,1.153728993749636,0.8395380297005564,9.599484242480468,6.931934516810394,4.968667272213388,0.4354377385418982,1.3253211382102859,2.1221324068001026,12.785372432809124,12.649991477756945,0.8885073844157302,0.39057127244909845,0.4531742776455092,0.02821403044972497,4.391273506288121,0.8820136408478662,1.985559247928232,1.6131812198350353,1.0013327129535936,2.292830777649285,3.421411569322514
2021-08-09,1238692528128.0,236570968064.0,19.09844151732495,14712143872.0,13876721664.0,23393691648.0,89342779392.0,12294130688.0,46201802752.0,115660513280.0,15816302592.0,19163246592.0,13529649152.0,15719692288.0,112532340736.0,92498558976.0,54134472704.0,9052679168.0,17631676416.0,26910287872.0,148425981952.0,144288382976.0,10770184192.0,4883659264.0,3639850496.0,574979328.0,55531237376.0,12164656128.0,22874613760.0,17943793664.0,21315633152.0,48111058944.0,55697776640.0,1.1877155579709546,1.1202716855789456,1.8885793783994327,7.212667983637647,0.9925086660997109,3.729884672980424,9.337306123481213,1.2768546053880472,1.5470543461629545,1.0922524230001585,1.2690552280763905,9.084767864553672,7.467434966754048,4.370291373744852,0.7308253632304581,1.4234102503747432,2.172475191456005,11.982471725756824,11.64844218395818,0.8694800321655825,0.39425920098028944,0.2938461654806944,0.0464182446364595,4.483052582865156,0.9820561480567006,1.8466740729089357,1.4486075645517886,1.7208171251516062,3.8840194682298477,4.496497345000897
2021-08-10,1333341323264.0,231634386944.0,17.372474917147425,12690291712.0,13638879232.0,23206309888.0,94693859328.0,10356253696.0,67172040704.0,148608303104.0,15713317888.0,17570445312.0,15589940224.0,12532282368.0,109498269696.0,97028702208.0,55270465536.0,8915342336.0,18605832192.0,27396356096.0,165258035200.0,141856407552.0,10120745984.0,5646247936.0,4049252864.0,453869184.0,55087398912.0,12435703808.0,21051691008.0,17617428480.0,19461038080.0,47960395776.0,83856187392.0,0.9517661749906882,1.022909812666139,1.7404628119671033,7.101996891252933,0.7767143727795103,5.037872863608834,11.145555943635577,1.1784917795492926,1.3177755016988304,1.1692385101990281,0.939915545204971,8.212321015293357,7.27710905790238,4.145260074944555,0.6686466683696094,1.395429052363966,2.0547143944308366,12.394278367931383,10.639166811746117,0.7590514002239548,0.4234660576016701,0.3036921449406134,0.03403998481716106,4.131530160420353,0.9326721966103608,1.5788673643194207,1.3212992181831427,1.4595691096080081,3.597008128315835,6.289176366837659
2021-08-11,1273014517760.0,223434129408.0,17.551577479348417,16330102784.0,12380059648.0,18397104128.0,87950696448.0,11393408000.0,51701944320.0,132632641536.0,16357771264.0,16787396608.0,19578585088.0,20783816704.0,100612227072.0,95028658176.0,49639661568.0,7041085952.0,23359156224.0,32189390848.0,173913653248.0,134146793472.0,10863281152.0,5478366720.0,3446343168.0,461788608.0,49796841472.0,12994634752.0,27110440960.0,20960712704.0,21940740096.0,42996264960.0,56740917248.0,1.2827899883447123,0.9724994864774982,1.4451605909704468,6.908852587381195,0.8949943493219444,4.061379002257954,10.41878467885667,1.2849634498107045,1.318712110018914,1.5379702913718953,1.632645693669799,7.903462660350296,7.464852666661861,3.899379062490669,0.5531033506506677,1.8349481406624364,2.5285957386126707,13.661560871593121,10.537726915168657,0.8533509241603199,0.43034597355886794,0.2707230058981727,0.036275203586253246,3.911726125450844,1.0207766345717249,2.1296254348853467,1.6465415289122178,1.7235263062519497,3.3775156810981506,4.457208967878974
2021-08-12,1295039594496.0,248651005952.0,19.200262834339775,17989904384.0,13889973248.0,18526072832.0,83148136448.0,8800884736.0,50824732672.0,151454056448.0,14200363008.0,15101676544.0,16029966336.0,12077519872.0,119328604160.0,88893243392.0,70986014720.0,5383658496.0,22688702464.0,28879226880.0,172630179840.0,146527371264.0,9693855744.0,4967589376.0,3230319360.0,498421184.0,61622255616.0,12622116864.0,26611406848.0,26323480576.0,12262747136.0,31851556864.0,47995613184.0,1.3891393329175594,1.0725520136243913,1.43054103602214,6.420509210790529,0.6795842206990671,3.9245697882912864,11.694936362694182,1.096519602053284,1.1661169749699607,1.2377973927691763,0.9325985030365266,9.214282302035713,6.8641332488830376,5.481377945639272,0.41571381437918103,1.7519697899916278,2.229987948070355,13.330108251028708,11.314508983875903,0.7485374026554477,0.3835859071114558,0.24943788388625807,0.03848694558207498,4.758329851681638,0.9746510390604886,2.0548720642287814,2.032639055043294,0.9469013293583801,2.4595044815132394,3.7061116422991534
2021-08-13,1288242855936.0,248373329920.0,19.280008328828583,16297074688.0,14325127168.0,19303254016.0,86732644352.0,10640550912.0,45361225728.0,168340766720.0,13674523648.0,14381000704.0,17099411456.0,11795727360.0,116046225408.0,94444281856.0,57831305216.0,5165483008.0,22611507200.0,32679319552.0,167560708096.0,149684862976.0,12648483840.0,4678134272.0,3963140096.0,385528960.0,57546387456.0,12901340160.0,26816960512.0,26252687360.0,11372731392.0,28861091840.0,38841384960.0,1.2650622988441893,1.1119896455852478,1.4984173152642726,6.732631502852975,0.8259739895292402,3.5211703693122245,13.067471396741299,1.061486472445018,1.1163268352496456,1.3273437828285928,0.9156446942940402,9.008101607028449,7.331248251897311,4.489161725176535,0.4009712131682585,1.7552208495323758,2.53673594240553,13.006919256249649,11.619304720866728,0.9818400142269741,0.3631407114306101,0.3076392062054555,0.029926729903725007,4.467044951255597,1.0014680151768636,2.081669647025954,2.0378678786404416,0.8828095835809547,2.240345576691001,3.0150669791045708
