trade_date,scope,level1_industry_name,turn_daily_std
2013-01-09,行业,钢铁,1.1118479060711577
2013-01-09,行业,银行,0.3321848140217531
2013-01-09,行业,非银行金融,3.4177196177098472
2013-01-09,行业,食品饮料,4.391901179305342
2013-01-10,全A,全A,3.7672713717412996
2013-01-10,行业,交通运输,1.9756483117908314
2013-01-10,行业,传媒,6.137729648111895
2013-01-10,行业,农林牧渔,4.115764089174463
2013-01-10,行业,医药,3.867847430391934
2013-01-10,行业,商贸零售,3.1784255389217755
2013-01-10,行业,国防军工,5.3854518953070825
2013-01-10,行业,基础化工,4.988840718263494
2013-01-10,行业,家电,4.241916079332094
2013-01-10,行业,建材,3.624922009067775
2013-01-10,行业,建筑,3.1265231755326646
2013-01-10,行业,房地产,2.4033655126958617
2013-01-10,行业,有色金属,2.890990598774051
2013-01-10,行业,机械,3.3804611814524677
2013-01-10,行业,汽车,2.405471130739409
2013-01-10,行业,消费者服务,3.026910280983226
2013-01-10,行业,煤炭,1.8849376203848058
2013-01-10,行业,电力及公用事业,4.076197324396417
2013-01-10,行业,电力设备及新能源,3.255046323812328
2013-01-10,行业,电子,3.3771013333364635
2013-01-10,行业,石油石化,2.165168006704076
2013-01-10,行业,纺织服装,2.749302606796636
2013-01-10,行业,综合,2.2655209662091704
2013-01-10,行业,综合金融,9.144817190354328
2013-01-10,行业,计算机,5.038578433384804
2013-01-10,行业,轻工制造,2.383952091061102
2013-01-10,行业,通信,3.5542773195325914
2013-01-10,行业,钢铁,1.106621989009212
2013-01-10,行业,银行,0.28874423976938485
2013-01-10,行业,非银行金融,2.741651707439712
2013-01-10,行业,食品饮料,3.201407723647341
2013-01-11,全A,全A,4.629707151771727
2013-01-11,行业,交通运输,3.37119407587634
2013-01-11,行业,传媒,7.461437702056232
2013-01-11,行业,农林牧渔,4.194419554993397
2013-01-11,行业,医药,3.8923192132387605
2013-01-11,行业,商贸零售,3.020778358394963
2013-01-11,行业,国防军工,5.360677701957908
2013-01-11,行业,基础化工,4.648348309939717
2013-01-11,行业,家电,5.033504247080576
2013-01-11,行业,建材,4.792800173022751
2013-01-11,行业,建筑,4.6656308001175955
2013-01-11,行业,房地产,3.3845510543379005
2013-01-11,行业,有色金属,2.4288327307784097
2013-01-11,行业,机械,4.819077709348172
2013-01-11,行业,汽车,4.1304020766792675
2013-01-11,行业,消费者服务,5.175186426280322
2013-01-11,行业,煤炭,1.220603351979218
2013-01-11,行业,电力及公用事业,4.124905102902887
2013-01-11,行业,电力设备及新能源,4.664536884972193
2013-01-11,行业,电子,4.863053232881156
2013-01-11,行业,石油石化,2.3716076358143896
2013-01-11,行业,纺织服装,3.1646580740601804
2013-01-11,行业,综合,2.7102257556644
2013-01-11,行业,综合金融,10.29333409578743
2013-01-11,行业,计算机,6.863760276655072
2013-01-11,行业,轻工制造,2.9769164895999767
2013-01-11,行业,通信,6.308539067693011
2013-01-11,行业,钢铁,1.517439789924425
2013-01-11,行业,银行,0.3529494874152202
2013-01-11,行业,非银行金融,2.992159205953901
2013-01-11,行业,食品饮料,3.3710883091647865
2013-01-14,全A,全A,4.519919358381222
2013-01-14,行业,交通运输,3.470176580979021
2013-01-14,行业,传媒,5.512887996598379
2013-01-14,行业,农林牧渔,3.8178014524247343
2013-01-14,行业,医药,3.4105618298393003
2013-01-14,行业,商贸零售,3.174647320763888
2013-01-14,行业,国防军工,4.267881079441741
2013-01-14,行业,基础化工,5.008153953983381
2013-01-14,行业,家电,5.240965297318072
2013-01-14,行业,建材,3.745430610571845
2013-01-14,行业,建筑,3.8859144843284814
2013-01-14,行业,房地产,3.055802128899081
2013-01-14,行业,有色金属,2.730500342850041
2013-01-14,行业,机械,5.3955614462878545
2013-01-14,行业,汽车,4.1570391438759735
2013-01-14,行业,消费者服务,4.716728595899709
2013-01-14,行业,煤炭,1.261088216193529
2013-01-14,行业,电力及公用事业,5.223384475207196
2013-01-14,行业,电力设备及新能源,3.9997381946821786
2013-01-14,行业,电子,4.815145979067341
2013-01-14,行业,石油石化,3.126613284727914
2013-01-14,行业,纺织服装,3.7060031082098708
2013-01-14,行业,综合,3.296035054233091
2013-01-14,行业,综合金融,7.411534295965835
